1734726240.542061,0
1734726240.648733,13
1734726240.753178,21
1734726240.858284,27
1734726240.965420,36
1734726241.070154,42
1734726241.175543,49
1734726241.280213,55
1734726241.386939,62
1734726241.491226,71
1734726241.595673,80
1734726241.700708,86
1734726241.805681,94
1734726241.910750,100
1734726242.015328,100
1734726242.120557,100
1734726242.226149,100
1734726242.330669,100
1734726242.436012,100
1734726242.541237,100
1734726242.647891,100
1734726242.752626,100
1734726242.857145,100
1734726242.961834,100
1734726243.066992,100
1734726243.173057,100
1734726243.277775,100
1734726243.383203,100
1734726243.488864,100
1734726243.597909,100
1734726243.702926,100
1734726243.807400,100
1734726243.912098,100
1734726244.018140,99
1734726244.122705,100
1734726244.227766,99
1734726244.333636,99
1734726244.439275,100
1734726244.546371,100
1734726244.652540,99
1734726244.758556,100
1734726244.864069,100
1734726244.968596,100
1734726245.075297,100
1734726245.180817,99
1734726245.286829,99
1734726245.392034,99
1734726245.499592,99
1734726245.606375,100
1734726245.711581,100
1734726245.817504,100
1734726245.921710,100
1734726246.026750,100
1734726246.132123,100
1734726246.237523,99
1734726246.343893,100
1734726246.447968,100
1734726246.552844,99
1734726246.659716,100
1734726246.764278,100
1734726246.870164,100
1734726246.975641,100
1734726247.080402,100
1734726247.185088,100
1734726247.290179,100
1734726247.394261,100
1734726247.499076,99
1734726247.603988,98
1734726247.712607,99
1734726247.817003,93
1734726247.922663,86
1734726248.027985,80
1734726248.133295,77
1734726248.239923,77
1734726248.345895,77
1734726248.451823,78
1734726248.556568,78
1734726248.661916,78
1734726248.766970,77
1734726248.872302,76
